STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1373;CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 9 – VC9;0101051096;HNX;VC9
1374;CÔNG TY CỔ PHẦN THÉP VICASA - VNSTEEL;3600961762;HOSE;VCA
1375;Ngân hàng TMCP Ngoại thương Việt Nam;0100112437;HOSE;VCB
1376;CTCP Vinaconex 25;4000378261;HNX;VCC
1377;CTCP Xây lắp Môi trường;6400308865;UPCOM;VCE
1378;CTCP Vinacafe Biên Hòa;3600261626;HOSE;VCF
1379;Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex);0100105616;HOSE;VCG
1380;CTCP BV Life;0102234864;HNX;VCM
1381;Công ty Cổ phần Đầu tư VCN;4200644489;Chưa niêm yết và chưa Upcom;VCN
1382;CTCP Xây Dựng và Năng lượng VCP;2800799804;UPCOM;VCP
1383;Công ty CP Đầu tư và Phát triển Du lịch VINACONEX;0102675516;UPCOM;VCR
1384;CTCP VICOSTONE;0500469512;HNX;VCS
1385;CTCP Tư vấn Xây dựng Vinaconex;0101445446;UPCOM;VCT
1386;CÔNG TY CỔ PHẦN ĐẦU TƯ NƯỚC SẠCH SÔNG ĐÀ;5400310164;UPCOM;VCW
1387;CÔNG TY CỔ PHẦN XI MĂNG YÊN BÌNH;5200213597;UPCOM;VCX
1388;Công ty cổ phần Vận tải và Chế biến Than Đông Bắc;5701650781;UPCOM;VDB
1389;Công ty cổ phần Vạn Đạt Group;0315858232;UPCOM;VDG
1390;Công ty cổ phần Thực phẩm Lâm Đồng;5800408245;HNX;VDL
1391;CTCP Vinatex Đà Nẵng;0400410498;UPCOM;VDN
1392;CTCP Dược phẩm TW VIDIPHA;0300470246;HOSE;VDP
1393;CTCP LƯỚI THÉP BÌNH TÂY;0303357746;UPCOM;VDT
1394;CTCP xây dựng điện VNECO1;0400447064;HNX;VE1
1395;CTCP Xây dựng điện VNECO 2;2900559122;UPCOM;VE2
1396;CTCP Xây dựng điện Vneco 3;2900576216;HNX;VE3
1397;CTCP Xây dựng điện VNECO4;2900574674;HNX;VE4
1398;CTCP Xây dựng điện VNECO 8;6000442866;HNX;VE8
1399;CTCP Đầu tư và Xây dựng VNECO 9;4200580651;UPCOM;VE9
1400;Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP;0100103866;UPCOM;VEA
1401;Tổng CTCP Điện tử và Tin học Việt Nam;0100103351;UPCOM;VEC
1402;CTCP Trung tâm hội chợ triển lãm Việt Nam;0100111472;UPCOM;VEF
1403;CTCP Đầu tư và Xây dựng điện Mêca Vneco;0303245217;UPCOM;VES
1404;CÔNG TY CỔ PHẦN THUỐC THÚ Y TRUNG ƯƠNG NAVETCO;0300600417;UPCOM;VET
